"Gebieden in Nederland 2021"
""
"","Subject"
"","Codes en namen van gemeenten|Code","Codes en namen van gemeenten|Naam","Codes en namen van gemeenten|Sortering naam","Lokaliseringen van gemeenten|Arbeidsmarktregio's|Code","Lokaliseringen van gemeenten|Arbeidsmarktregio's|Naam","Lokaliseringen van gemeenten|Arrondissementen (rechtsgebieden)|Code","Lokaliseringen van gemeenten|Arrondissementen (rechtsgebieden)|Naam","Lokaliseringen van gemeenten|COROP-gebieden|Code","Lokaliseringen van gemeenten|COROP-gebieden|Naam","Lokaliseringen van gemeenten|COROP-subgebieden|Code","Lokaliseringen van gemeenten|COROP-subgebieden|Naam","Lokaliseringen van gemeenten|COROP-plusgebieden|Code","Lokaliseringen van gemeenten|COROP-plusgebieden|Naam","Lokaliseringen van gemeenten|GGD-regio's|Code","Lokaliseringen van gemeenten|GGD-regio's|Naam","Lokaliseringen van gemeenten|Jeugdregio's|Code","Lokaliseringen van gemeenten|Jeugdregio's|Naam","Lokaliseringen van gemeenten|Kamer van Koophandel|Code","Lokaliseringen van gemeenten|Kamer van Koophandel|Naam","Lokaliseringen van gemeenten|Landbouwgebieden|Code","Lokaliseringen van gemeenten|Landbouwgebieden|Naam","Lokaliseringen van gemeenten|Landbouwgebieden (groepen)|Code","Lokaliseringen van gemeenten|Landbouwgebieden (groepen)|Naam","Lokaliseringen van gemeenten|Landsdelen|Code","Lokaliseringen van gemeenten|Landsdelen|Naam","Lokaliseringen van gemeenten|Provincies|Code","Lokaliseringen van gemeenten|Provincies|Naam","Lokaliseringen van gemeenten|Regionale eenheden|Code","Lokaliseringen van gemeenten|Regionale eenheden|Naam","Lokaliseringen van gemeenten|Regionale Energiestrategie regio’s|Code","Lokaliseringen van gemeenten|Regionale Energiestrategie regio’s|Naam","Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Code","Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Naam","Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Code","Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Naam","Lokaliseringen van gemeenten|Ressorten (rechtsgebieden)|Code","Lokaliseringen van gemeenten|Ressorten (rechtsgebieden)|Naam","Lokaliseringen van gemeenten|SubRES-regio’s|Code","Lokaliseringen van gemeenten|SubRES-regio’s|Naam","Lokaliseringen van gemeenten|Toeristengebieden|Code","Lokaliseringen van gemeenten|Toeristengebieden|Naam","Lokaliseringen van gemeenten|Veilig Thuis Regio's|Code","Lokaliseringen van gemeenten|Veilig Thuis Regio's|Naam","Lokaliseringen van gemeenten|Veiligheidsregio's|Code","Lokaliseringen van gemeenten|Veiligheidsregio's|Naam","Lokaliseringen van gemeenten|Zorgkantoorregio's|Code","Lokaliseringen van gemeenten|Zorgkantoorregio's|Naam","Grootte en stedelijkheid van gemeenten|Gemeentegrootte|Code","Grootte en stedelijkheid van gemeenten|Gemeentegrootte|Omschrijving","Grootte en stedelijkheid van gemeenten|Stedelijkheid|Code","Grootte en stedelijkheid van gemeenten|Stedelijkheid|Omschrijving","Statistische gegevens|Inwonertal","Statistische gegevens|Omgevingsadressendichtheid"
"Veere","GM0717","Veere","Veere","AM24","Zealand","AR11","Zeeland-West-Brabant","CR32","OtherZeeland","CS320","OtherZeeland","CP3200","OtherZeeland","GG5006","GGDZeeland","JZ38","Zealand","KK45","Southwest","LB2902","WalcherenandSouthBeveland","LG11","SouthwesternArableFarmingArea","LD03","WestNetherlands","PV29","Zealand","RE08","Zeeland-West-Brabant","ES24","Zealand","MC32","Walcheren","RA1222","Zealand","RT14","CourtofAppeal's-Hertogenbosch","ET2401","Zealand","TR02","NorthSeaseasideresorts","VT23","Zealand","VR19","Zealand","ZK27","Zealand","4","20,000to50,000inhabitants","5","Non-urban","21953","347"
"Veldhoven","GM0861","Veldhoven","Veldhoven","AM28","South-eastBrabant","AR10","EastBrabant","CR36","South-eastNorthBrabant","CS360","South-eastNorthBrabant","CP3600","South-eastNorthBrabant","GG5608","GGDBrabant-Southeast","JZ39","South-eastBrabant","KK44","South","LB3008","CentralNorthBrabant","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES26","EindhovenMetropolitanRegion","MC37","South-eastBrabant","RA1326","South-eastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2601","EindhovenMetropolitanRegion","TR13","WestandCentralBrabant","VT26","South-eastBrabant","VR22","BrabantSoutheast","ZK30","South-eastBrabant","4","20,000to50,000inhabitants","2","Stronglyurban","45,500","1684"
"Velsen","GM0453","Velsen","Velsen","AM37","SouthKennemerlandandIJmond","AR02","NorthHolland","CR20","IJmond","CS200","IJmond","CP2000","IJmond","GG3109","MunicipalHealthServiceKennemerland","JZ10","IJmond(CentralKennemerland)","KK41","Northwest","LB2708","Kennemerland","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES16","NorthHollandSouth","MC25","WestKennemerland","RA0717","Amstelland,KennemerlandandMeerlanden","RT11","AmsterdamCourtofAppeal","ET1602","IJmond-SouthKennemerland","TR02","NorthSeaseasideresorts","VT12","Kennemerland","VR12","Kennemerland","ZK11","Kennemerland","5","50,000to100,000inhabitants","2","Stronglyurban","68617","1865"
"Venlo","GM0983","Venlo","Venlo","AM29","NorthLimburg","AR09","Limburg","CR37","NorthLimburg","CS370","NorthLimburg","CP3700","NorthLimburg","GG6011","GGDLimburg-Noord","JZ37","NorthLimburg","KK44","South","LB3101","NorthLimburg","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES29","NorthandCentralLimburg","MC38","Limburg-NorthRegion","RA1427","NorthandCentralLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET2901","NorthandCentralLimburg","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT13","NorthandCentralLimburg","VR23","Limburg-North","ZK17","NorthandCentralLimburg","6","100,000to150,000inhabitants","2","Stronglyurban","101988","1660"
"Venray","GM0984","Venray","Venray","AM29","NorthLimburg","AR09","Limburg","CR37","NorthLimburg","CS370","NorthLimburg","CP3700","NorthLimburg","GG6011","GGDLimburg-Noord","JZ37","NorthLimburg","KK44","South","LB3101","NorthLimburg","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES29","NorthandCentralLimburg","MC38","Limburg-NorthRegion","RA1427","NorthandCentralLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET2901","NorthandCentralLimburg","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT13","NorthandCentralLimburg","VR23","Limburg-North","ZK17","NorthandCentralLimburg","4","20,000to50,000inhabitants","3","Moderatelyurban","43713","1024"
"Five Lords Lands","GM1961","FiveLordsLands","FiveLordsLands","AM35","Gorinchem","AR04","CentralNetherlands","CR17","Utrecht","CS170","Utrecht","CP1703","UtrechtMetropolitanArea","GG2514","GGDRegionUtrecht","JZ26","Leakagecurrent","KK41","Northwest","LB2807","AlblasserwaardandVijfherenlanden","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV26","Utrecht","RE03","CentralNetherlands","ES14","U16","MC19","Utrecht","RA0512","Utrechtandsurroundings","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1401","U16","TR17","OtherNetherlands","VT20","Utrecht","VR09","Utrecht","ZK24","Valuesland","5","50,000to100,000inhabitants","4","Notveryurban","57829","900"
"Vlaardingen","GM0622","Vlaardingen","Vlaardingen","AM22","Rhineestuary","AR08","Rotterdam","CR29","GreaterRhineEstuary","CS291","Rhineestuary","CP2910","Rhineestuary","GG4607","MunicipalHealthServiceRotterdam-Rijnmond","JZ29","Rhineestuary","KK45","Southwest","LB2802","Rotterdamandsurroundings","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE07","Rotterdam","ES23","Rotterdam/TheHague","MC29","Rhineestuary","RA1020","TheHagueregionandNewWaterwayNorth","RT13","TheHagueCourtofAppeal","ET2301","Rotterdam/TheHague","TR17","OtherNetherlands","VT18","Rotterdam-Rijnmond","VR17","Rotterdam-Rijnmond","ZK33","WestlandSchielandDelfland","5","50,000to100,000inhabitants","1","Verystrongurban","73924","2803"
"Vlieland","GM0096","Vlieland","Vlieland","AM02","Friesland","AR05","NorthernNetherlands","CR04","NorthFriesland","CS040","NorthFriesland","CP0400","NorthFriesland","GG7206","GGDFriesland","JZ02","Friesland(Fryslân)","KK42","North","LB2104","Islands","LG03","NorthernMeadowArea","LD01","NorthernNetherlands","PV21","Friesland","RE01","NorthernNetherlands","ES02","Friesland","MC04","FrieslandNorth","RA0103","Friesland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0201","Friesland","TR01","WaddenIslands","VT04","Friesland","VR02","Friesland","ZK08","Friesland","1","lessthan5,000inhabitants","5","Non-urban","1194","213"
"Vlissingen","GM0718","Vlissingen","Vlissingen","AM24","Zealand","AR11","Zeeland-West-Brabant","CR32","OtherZeeland","CS320","OtherZeeland","CP3200","OtherZeeland","GG5006","GGDZeeland","JZ38","Zealand","KK45","Southwest","LB2902","WalcherenandSouthBeveland","LG11","SouthwesternArableFarmingArea","LD03","WestNetherlands","PV29","Zealand","RE08","Zeeland-West-Brabant","ES24","Zealand","MC32","Walcheren","RA1222","Zealand","RT14","CourtofAppeal's-Hertogenbosch","ET2401","Zealand","TR02","NorthSeaseasideresorts","VT23","Zealand","VR19","Zealand","ZK27","Zealand","4","20,000to50,000inhabitants","2","Stronglyurban","44358","1932"
"Voerendaal","GM0986","Voerendaal","Voerendaal","AM30","SouthLimburg","AR09","Limburg","CR39","SouthLimburg","CS390","SouthLimburg","CP3900","SouthLimburg","GG6106","GGDSouthLimburg","JZ41","SouthLimburg","KK44","South","LB3102","SouthLimburg","LG14","SouthLimburg","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES30","SouthLimburg","MC39","SouthLimburgRegion","RA1428","SouthLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET3001","ParkCity","TR15","SouthLimburg","VT25","SouthLimburg","VR24","Limburg-South","ZK31","SouthLimburg","3","10,000to20,000inhabitants","4","Notveryurban","12466","547"
"Voorschoten","GM0626","Voorschoten","Voorschoten","AM34","SouthHollandCentral","AR07","TheHague","CR25","LeidenandBulbRegionagglomeration","CS250","LeidenandBulbRegionagglomeration","CP2500","LeidenandBulbRegionagglomeration","GG4506","MunicipalHealthServiceHollands-Midden","JZ24","TheHagueregion","KK45","Southwest","LB2804","WesternRhineland","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE06","TheHague","ES21","HollandRhineland","MC26","SouthHolland-North","RA0818","Rhineregion","RT13","TheHagueCourtofAppeal","ET2101","HollandRhineland","TR17","OtherNetherlands","VT10","Hollands-Middle","VR16","Hollands-Middle","ZK28","SouthHollandNorth","4","20,000to50,000inhabitants","2","Stronglyurban","25650","1860"
"Front","GM0285","Front","Front","AM06","TriangleofCitiesandNorthwestVeluwe","AR03","Gelderland","CR13","Veluwe","CS130","Veluwe","CP1300","Veluwe","GG1413","GGDNorthandEastGelderland","JZ17","MiddleIJssel/EastVeluwe","KK43","East","LB2502","IJsselregion","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES12","Cleantech","MC11","TriangleofCities","RA0206","TriangleofCities&NorthVeluwe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1201","Cleantech","TR08","VeluweandVeluweedge","VT14","NorthandEastGelderland","VR06","NorthandEastGelderland","ZK14","MiddleIJssel","4","20,000to50,000inhabitants","4","Notveryurban","24790","582"
"Vught","GM0865","Vught","Vught","AM27","NortheastBrabant","AR10","EastBrabant","CR35","NortheastNorthBrabant","CS351","Urbanregion's-Hertogenbosch","CP3510","Urbanregion's-Hertogenbosch","GG5406","GGDHeartforBrabant","JZ33","NortheastBrabant","KK44","South","LB3004","EasternLongStreet","LG10","Riverarea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES27","NortheastBrabant","MC36","North-EastBrabant","RA1325","NortheastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2701","NortheastBrabant","TR13","WestandCentralBrabant","VT16","BrabantNortheast","VR21","NorthBrabant","ZK19","NortheastBrabant","4","20,000to50,000inhabitants","3","Moderatelyurban","31669","1160"
"Waadhoeke","GM1949","Waadhoeke","Waadhoeke","AM02","Friesland","AR05","NorthernNetherlands","CR04","NorthFriesland","CS040","NorthFriesland","CP0400","NorthFriesland","GG7206","GGDFriesland","JZ02","Friesland(Fryslân)","KK42","North","LB2101","NorthernFriesland","LG01","BouwhoekandHogeland","LD01","NorthernNetherlands","PV21","Friesland","RE01","NorthernNetherlands","ES02","Friesland","MC04","FrieslandNorth","RA0103","Friesland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0201","Friesland","TR17","OtherNetherlands","VT04","Friesland","VR02","Friesland","ZK08","Friesland","4","20,000to50,000inhabitants","5","Non-urban","46149","474"
"Waalre","GM0866","Waalre","Waalre","AM28","South-eastBrabant","AR10","EastBrabant","CR36","South-eastNorthBrabant","CS360","South-eastNorthBrabant","CP3600","South-eastNorthBrabant","GG5608","GGDBrabant-Southeast","JZ39","South-eastBrabant","KK44","South","LB3008","CentralNorthBrabant","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES26","EindhovenMetropolitanRegion","MC37","South-eastBrabant","RA1326","South-eastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2601","EindhovenMetropolitanRegion","TR13","WestandCentralBrabant","VT26","South-eastBrabant","VR22","BrabantSoutheast","ZK30","South-eastBrabant","3","10,000to20,000inhabitants","4","Notveryurban","17544","858"
"Waalwijk","GM0867","Waalwijk","Waalwijk","AM26","CentralBrabant","AR11","Zeeland-West-Brabant","CR34","CentralNorthBrabant","CS340","CentralNorthBrabant","CP3400","CentralNorthBrabant","GG5406","GGDHeartforBrabant","JZ35","CentralBrabant","KK44","South","LB3002","WesternLongStreet","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE08","Zeeland-West-Brabant","ES25","HeartofBrabant","MC35","CentralBrabant","RA1324","CentralBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2501","HeartofBrabant","TR13","WestandCentralBrabant","VT15","NorthBrabantCentral","VR20","CentralandWestBrabant","ZK12","CentralBrabant","4","20,000to50,000inhabitants","3","Moderatelyurban","48815","1311"
"Waddinxveen","GM0627","Waddinxveen","Waddinxveen","AM20","CentralHolland","AR07","TheHague","CR28","EastSouthHolland","CS280","EastSouthHolland","CP2800","EastSouthHolland","GG4506","MunicipalHealthServiceHollands-Midden","JZ27","CentralHolland","KK45","Southwest","LB2809","WestlandandSouthHollandPolders","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE06","TheHague","ES22","CentralHolland","MC27","SouthHollandEast","RA0818","Rhineregion","RT13","TheHagueCourtofAppeal","ET2201","CentralHolland","TR17","OtherNetherlands","VT10","Hollands-Middle","VR16","Hollands-Middle","ZK13","CentralHolland","4","20,000to50,000inhabitants","2","Stronglyurban","30479","1579"
"Wageningen","GM0289","Wageningen","Wageningen","AM38","FoodValley","AR03","Gelderland","CR13","Veluwe","CS130","Veluwe","CP1300","Veluwe","GG1911","SafetyandHealthRegionGelderland-Midden","JZ28","CentralGelderland","KK43","East","LB2505","VeluwezoomandBetuwe","LG10","Riverarea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES09","FoodValley","MC16","EemandValley","RA0309","CentralGelderland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0901","FoodValleyGelderland","TR08","VeluweandVeluweedge","VT05","Gelderland-Middle","VR07","Gelderland-Middle","ZK04","Arnhem","4","20,000to50,000inhabitants","2","Stronglyurban","39635","2078"
"Wassenaar","GM0629","Wassenaar","Wassenaar","AM34","SouthHollandCentral","AR07","TheHague","CR26","AgglomerationofTheHague","CS260","AgglomerationofTheHague","CP2601","Aggl.TheHagueexcl.Zoetermeer","GG7014","MunicipalHealthServiceTheHague","JZ24","TheHagueregion","KK45","Southwest","LB2808","Bulbregion","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE06","TheHague","ES23","Rotterdam/TheHague","MC28","TheHague/Westland","RA1020","TheHagueregionandNewWaterwayNorth","RT13","TheHagueCourtofAppeal","ET2301","Rotterdam/TheHague","TR02","NorthSeaseasideresorts","VT09","TheHagueregion","VR15","TheHagueregion","ZK10","TheHagueregion","4","20,000to50,000inhabitants","3","Moderatelyurban","26949","1447"
"Waterland","GM0852","Waterland","Waterland","AM17","Zaanregion/Waterland","AR02","NorthHolland","CR23","GreaterAmsterdam","CS232","OtherGreaterAmsterdam","CP2322","Edam-Volendamandsurroundings","GG7306","MunicipalHealthServiceZaanstreek/Waterland","JZ09","Zaanregion-Waterland","KK41","Northwest","LB2706","WaterlandandNorthHollandPolders","LG08","WaterlandandPolders","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES16","NorthHollandSouth","MC21","AmsterdamAgglomeration","RA0615","ZaanregionandWaterland","RT11","AmsterdamCourtofAppeal","ET1603","Zaanregion-Waterland","TR03","IJsselmeercoast","VT22","Zaanregion-Waterland","VR11","Zaanregion-Waterland","ZK26","Zaanregion/Waterland","3","10,000to20,000inhabitants","4","Notveryurban","17312","643"
"Weert","GM0988","Weert","Weert","AM33","CentralLimburg","AR09","Limburg","CR38","CentralLimburg","CS380","CentralLimburg","CP3800","CentralLimburg","GG6011","GGDLimburg-Noord","JZ43","CentralLimburgWest","KK44","South","LB3101","NorthLimburg","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES29","NorthandCentralLimburg","MC38","Limburg-NorthRegion","RA1427","NorthandCentralLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET2901","NorthandCentralLimburg","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT13","NorthandCentralLimburg","VR23","Limburg-North","ZK17","NorthandCentralLimburg","5","50,000to100,000inhabitants","3","Moderatelyurban","50011","1346"
"Weesp","GM0457","Weesp","Weesp","AM12","GooiandVechtregion","AR04","CentralNetherlands","CR24","TheGooiandVechtregion","CS240","TheGooiandVechtregion","CP2400","TheGooiandVechtregion","GG3606","MunicipalHealthServiceGooiandVechtstreek","JZ16","GooiandVechtregion","KK41","Northwest","LB2707","TheGeinandGooiland","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV27","NorthHolland","RE03","CentralNetherlands","ES16","NorthHollandSouth","MC20","GooiandVechtregion","RA0511","GooiandVechtregion","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1604","GooiandVechtregion","TR17","OtherNetherlands","VT20","Utrecht","VR14","GooiandVechtregion","ZK21","TheGooi","4","20,000to50,000inhabitants","2","Stronglyurban","20445","1789"
"West Betuwe","GM1960","WestBetuwe","WestBetuwe","AM10","Riverland","AR03","Gelderland","CR16","SouthwestGelderland","CS160","SouthwestGelderland","CP1600","SouthwestGelderland","GG2014","MunicipalHealthServiceGelderland-South","JZ30","Riverland","KK43","East","LB2505","VeluwezoomandBetuwe","LG10","Riverarea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES11","FruitDeltaRivierenland","MC15","Riverland","RA0308","South-WestGelderland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1101","FruitDeltaRivierenland","TR09","GelderlandRiverArea","VT06","Gelderland-South","VR08","Gelderland-South","ZK16","Nijmegen","5","50,000to100,000inhabitants","5","Non-urban","51496","458"
"West Maas and Waal","GM0668","WestMaasandWaal","WestMaasandWaal","AM10","Riverland","AR03","Gelderland","CR16","SouthwestGelderland","CS160","SouthwestGelderland","CP1600","SouthwestGelderland","GG2014","MunicipalHealthServiceGelderland-South","JZ30","Riverland","KK43","East","LB2503","SouthernGelderland","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES11","FruitDeltaRivierenland","MC15","Riverland","RA0308","South-WestGelderland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1101","FruitDeltaRivierenland","TR09","GelderlandRiverArea","VT06","Gelderland-South","VR08","Gelderland-South","ZK16","Nijmegen","3","10,000to20,000inhabitants","5","Non-urban","19581","428"
"Western Quarter","GM1969","WesternQuarter","WesternQuarter","AM01","Groningen","AR05","NorthernNetherlands","CR03","OtherGroningen","CS030","OtherGroningen","CP0300","OtherGroningen","GG0111","GGDGroningen","JZ01","Groningen","KK42","North","LB2005","Groningen'ssouthernWesterkwartier","LG03","NorthernMeadowArea","LD01","NorthernNetherlands","PV20","Groningen","RE01","NorthernNetherlands","ES01","Groningen","MC03","CentralandWesternGroningen","RA0101","Groningen","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0101","Groningen","TR17","OtherNetherlands","VT08","Groningen","VR01","Groningen","ZK09","Groningen","5","50,000to100,000inhabitants","5","Non-urban","63678","476"
"Westerveld","GM1701","Westerveld","Westerveld","AM36","Zwolleregion","AR05","NorthernNetherlands","CR09","SouthwestDrenthe","CS090","SouthwestDrenthe","CP0900","SouthwestDrenthe","GG0706","MunicipalHealthServiceDrenthe","JZ04","Drenthe","KK42","North","LB2203","SouthwesternmeadowareainDrenthe","LG03","NorthernMeadowArea","LD01","NorthernNetherlands","PV22","Drenthe","RE01","NorthernNetherlands","ES03","Drenthe","MC09","South-WestDrenthe","RA0102","Drenthe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0301","Drenthe","TR12","Groningen,FrisianandDrenthesandysoils","VT02","Drenthe","VR03","Drenthe","ZK06","Drenthe","3","10,000to20,000inhabitants","5","Non-urban","19661","213"
"Westervoort","GM0293","Westervoort","Westervoort","AM07","CentralGelderland","AR03","Gelderland","CR15","Arnhem/Nijmegen","CS150","Arnhem/Nijmegen","CP1500","Arnhem/Nijmegen","GG1911","SafetyandHealthRegionGelderland-Midden","JZ28","CentralGelderland","KK43","East","LB2503","SouthernGelderland","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES08","Arnhem/Nijmegen","MC41","Arnhem","RA0309","CentralGelderland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0801","Arnhem/Nijmegen","TR10","Achterhoek","VT05","Gelderland-Middle","VR07","Gelderland-Middle","ZK04","Arnhem","3","10,000to20,000inhabitants","3","Moderatelyurban","15014","1158"
"Westerwolde","GM1950","Westerwolde","Westerwolde","AM01","Groningen","AR05","NorthernNetherlands","CR01","EastGroningen","CS010","EastGroningen","CP0100","EastGroningen","GG0111","GGDGroningen","JZ01","Groningen","KK42","North","LB2004","WesterwoldeandGroningenPeatColonies","LG02","PeatcoloniesandOldambt","LD01","NorthernNetherlands","PV20","Groningen","RE01","NorthernNetherlands","ES01","Groningen","MC01","EastGroningen","RA0101","Groningen","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0101","Groningen","TR12","Groningen,FrisianandDrenthesandysoils","VT08","Groningen","VR01","Groningen","ZK09","Groningen","4","20,000to50,000inhabitants","5","Non-urban","26215","286"
"Westland","GM1783","Westland","Westland","AM21","TheHagueregion","AR07","TheHague","CR27","DelftandWestland","CS270","DelftandWestland","CP2700","DelftandWestland","GG7014","MunicipalHealthServiceTheHague","JZ24","TheHagueregion","KK45","Southwest","LB2809","WestlandandSouthHollandPolders","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE06","TheHague","ES23","Rotterdam/TheHague","MC28","TheHague/Westland","RA1020","TheHagueregionandNewWaterwayNorth","RT13","TheHagueCourtofAppeal","ET2301","Rotterdam/TheHague","TR02","NorthSeaseasideresorts","VT09","TheHagueregion","VR15","TheHagueregion","ZK33","WestlandSchielandDelfland","6","100,000to150,000inhabitants","3","Moderatelyurban","111382","1443"
"Weststellingwerf","GM0098","Weststellingwerf","Weststellingwerf","AM02","Friesland","AR05","NorthernNetherlands","CR06","SoutheastFriesland","CS060","SoutheastFriesland","CP0600","SoutheastFriesland","GG7206","GGDFriesland","JZ02","Friesland(Fryslân)","KK42","North","LB2103","TheWoods","LG03","NorthernMeadowArea","LD01","NorthernNetherlands","PV21","Friesland","RE01","NorthernNetherlands","ES02","Friesland","MC06","Friesland-East","RA0103","Friesland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0201","Friesland","TR12","Groningen,FrisianandDrenthesandysoils","VT04","Friesland","VR02","Friesland","ZK08","Friesland","4","20,000to50,000inhabitants","4","Notveryurban","26130","679"
"Westvoorne","GM0614","Westvoorne","Westvoorne","AM22","Rhineestuary","AR08","Rotterdam","CR29","GreaterRhineEstuary","CS291","Rhineestuary","CP2910","Rhineestuary","GG4607","MunicipalHealthServiceRotterdam-Rijnmond","JZ29","Rhineestuary","KK45","Southwest","LB2801","Voorne-PuttenandHoekscheWaard","LG11","SouthwesternArableFarmingArea","LD03","WestNetherlands","PV28","SouthHolland","RE07","Rotterdam","ES23","Rotterdam/TheHague","MC29","Rhineestuary","RA0919","Rhineestuary","RT13","TheHagueCourtofAppeal","ET2301","Rotterdam/TheHague","TR02","NorthSeaseasideresorts","VT18","Rotterdam-Rijnmond","VR17","Rotterdam-Rijnmond","ZK29","SouthHollandIslands","3","10,000to20,000inhabitants","4","Notveryurban","14,900","620"
